ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
204,Amerindian,NN|JJ,3,"0,2,1",{(america)(indo)>n>},100,6,237016,100,6,68287,64.4295302013422,150,714837,1,1.12E-05,0.001235902981616
205,Amerindians,NN,3,"0,2,1",{(america)(indo)>n>},100,6,237016,100,6,68287,64.4295302013422,150,714837,1,1.12E-05,0.001235902981616
242,AMPHIBOLOGY,NN,3,"0,2,1",{(amphibio)(log)>y>},100,3,1020,95.7943925233645,215,380513,81.0865191146881,2486,3870233,1,4.99E-05,0.029816159431485
430,zoologists,NN,3,"0,2,1",{(zoo)(log)>ist>},66.6666666666666,4,6038,39.2523364485981,215,380513,31.6702819956616,462,382916,3,6.27E-05,0.003707708944848
494,woodpeckers,NN,3,"0,2,1",{(wood)}{(peck)}>er>,21.1538461538461,53,58074,25,5,2349,26.3528376594808,2274,4569119,2,3.55E-05,0.025027035377723
538,workaday,JJ,3,"0,2,1",{(work)>a>(day)},44.7058823529411,86,1051110,66.6666666666666,61,89636,2.23E-05,0.000308975745404,76.4705882352941,35,778343,3
628,wrongdoers,NN,3,"0,2,1",{(wrong)}{(do)}>er>,62.5,9,143655,90,11,3190772,44.6546414430268,2274,4569119,2,3.55E-05,0.025027035377723
632,wrongheadedly,RB,3,"0,2,1",{(wrong)}{(head)}>ly>,100,9,143655,91.7525773195876,98,230581,86.8829823955816,2898,3857999,2,4.48E-05,0.026726401977445
633,wrongheadedness,NN,3,"0,2,1",{(wrong)}{(head)}>ness>,87.5,9,143655,80.4123711340206,98,230581,53.5426731078905,1243,181553,4,0.000583851547482,0.016375714506411
739,yeomanry,NN,3,"0,2,1",{(yeo)(man)}>ory>,100,3,267,66.6666666666666,211,300379,72.3943661971831,356,725186,3,2.62E-05,0.002935269581338
